HERV3	HERV3-int	LTR4,LTR61	600
HERV9	HERV9-int	LTR12,LTR12B,LTR12C,LTR12D,LTR12E,LTR12F,LTR12_	1000
HERVE	HERVE-int	LTR2,LTR2B,LTR2C	500
HERVFC1	HERV-Fc1-int	HERV-Fc1_LTR1,HERV-Fc1_LTR2,HERV-Fc1_LTR3	400
HERVFC2	HERV-Fc2-int	HERV-Fc2_LTR	350
HERVFH21	HERVFH21-int	LTR21A,LTR21B	500
HERVFRD	MER50-int	MER50,MER50B,MER50C	700
HERVH	HERVH-int	LTR7,LTR7A,LTR7B,LTR7C,LTR7Y	500
HERVH48	HERVH48-int	MER48	500
HERVI	HERVI-int	LTR10A,LTR10B,LTR10B1,LTR10C,LTR10D,LTR10E,LTR10F,LTR10G	1000
HERVK14C	HERVK14C-int	LTR14C	600
HERVL	HERVL-int	MLT2A1,MLT2A2	500
HERVL18	HERVL18-int	LTR18A,LTR18B	600
HERVS71	HERVS71-int	LTR6A,LTR6B	600
HERVW	HERV17-int	LTR17	750
HML1	HERVK14-int	LTR14A,LTR14B	600
HML2	HERVK-int	LTR5,LTR5A,LTR5B,LTR5_Hs	1000
HML3	HERVK9-int	MER9a1,MER9a2,MER9a3,MER9B	500
HML4	HERVK13-int	LTR13,LTR13A	600
HML5	HERVK22-int	LTR22,LTR22A,LTR22B,LTR22C	600
HML6	HERVK3-int	LTR3,LTR3A,LTR3B,LTR3B_	500
MER61	MER61-int	MER61A,MER61B,MER61C	500
PABLB	PABL_B-int	PABL_B	700
