#--- HERVK Group ---#		
HML1	HERVK14-int	LTR14A,LTR14B
HML2	HERVK-int	LTR5,LTR5A,LTR5B,LTR5_Hs
HML3	HERVK9-int	MER9a1,MER9a2,MER9a3,MER9B
HML4	HERVK13-int	LTR13,LTR13A
HML5	HERVK22-int	LTR22,LTR22A,LTR22B,LTR22C
HML6	HERVK3-int	LTR3,LTR3A,LTR3B,LTR3B_
HERVK11	HERVK11-int	MER11A,MER11B,MER11C
HERVK11D	HERVK11D-int	MER11D
HERVKC4	HERVKC4-int	LTR14
HERVK14C	HERVK14C-int	LTR14C
#--- HERVW group ---#		
HERVW	HERV17-int	LTR17
HERV9	HERV9-int	LTR12,LTR12B,LTR12C,LTR12D,LTR12E,LTR12F,LTR12_
HERV30	HERV30-int	LTR30
#--- HERVE group ---#		
HERVE	HERVE-int	LTR2,LTR2B,LTR2C
HERVEA	HERVE_a-int	LTR2,LTR2B,LTR2C
#--- HERVF group ---#		
HERVFC1	HERV-Fc1-int	HERV-Fc1_LTR1,HERV-Fc1_LTR2,HERV-Fc1_LTR3
HERVFC2	HERV-Fc2-int	HERV-Fc2_LTR
HERVFH19	HERVFH19-int	LTR19A,LTR19B
HERVFH21	HERVFH21-int	LTR21A,LTR21B
HERVFRD	MER50-int	MER50,MER50B,MER50C
#--- HERVH group ---#		
HERVH	HERVH-int	LTR7,LTR7A,LTR7B,LTR7C,LTR7Y
HERVH48	HERVH48-int	MER48
#--- HERVI group ---#		
HERVI	HERVI-int	LTR10A,LTR10B,LTR10B1,LTR10C,LTR10D,LTR10E,LTR10F,LTR10G
HERVIP10F	HERVIP10F-int	LTR10A,LTR10B,LTR10B1,LTR10C,LTR10D,LTR10E,LTR10F,LTR10G
HERVIP10FH	HERVIP10FH-int	LTR10A,LTR10B,LTR10B1,LTR10C,LTR10D,LTR10E,LTR10F,LTR10G
#--- HERVL group ---#		
HERVL	HERVL-int	MLT2A1,MLT2A2,MLT2B1,MLT2B2,MLT2B3,MLT2B4,MLT2B5
HERVL18	HERVL18-int	LTR18A,LTR18B
HERVL32	HERVL32-int	LTR32
HERVL40	HERVL40-int	LTR40a,LTR40b,LTR40c,LTR40A1
HERVL66	HERVL66-int	LTR66
HERVL74	HERVL74-int	MER74A,MER74B,MER74C
#--- ERVL group ---#		
ERVL	ERVL-int	MLT2B1,MLT2B2,MLT2B3,MLT2B4,MLT2B5,MLT2D
ERVLB4	ERVL-B4-int	MLT2B1,MLT2B2,MLT2B3,MLT2B4,MLT2B5,MLT2C1,MLT2C2,MLT2D,MLT2F
ERVLE	ERVL-E-int	MLT2D,MLT2E,MLT2F
#--- ERV1 ---#		
HERV3	HERV3-int	LTR4,LTR61,LTR76
HERV4	HERV4_I-int	MER51A,MER51B,MER51C,MER51D,MER51E
#--- HERVP ---#		
HERVP71A	HERVP71A-int	LTR71A,LTR71B
#--- HERVS ---#
HERVS71	HERVS71-int	LTR6A,LTR6B
#--- PAB ---#		
PABLA	PABL_A-int	PABL_A
PABLB	PABL_B-int	PABL_B
#--- MER4 ---#		
MER4	MER4-int	MER4A,MER4A1,MER4A1_,MER4B,MER4C
MER4B	MER4B-int	MER4B,MER4D,MER4D0,MER4D1,MER4E,MER4E1
MER34B	MER34B-int	MER34,MER34B,MER34C,MER34C2,MER34C_
MER41	MER41-int	MER41A,MER41B,MER41C
MER61	MER61-int	MER61A,MER61B,MER61C,MER61D
MER101	MER101-int	MER101,MER101B,MER65A
#--- PRIMA ---#		
PRIMA4	PRIMA4-int	PRIMA4_LTR,MER4A
PRIMA41	PRIMA41-int	MER41C,MER41D,MER41E
PRIMAX	PRIMAX-int	LTR24,LTR24B,LTR24C
#--- LTR ---#		
LTR19	LTR19-int	LTR19A,LTR19B,LTR19C
LTR23	LTR23-int	LTR23,LTR24
LTR25	LTR25-int	LTR25
LTR46	LTR46-int	LTR46
LTR57	LTR57-int	LTR57
#--- ERV3 ---#		
ERV316A3	ERV3-16A3_I-int	ERV3-16A3_LTR,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2
#--- HARLEQUIN ---#		
HARLEQUIN	Harlequin-int	LTR2,LTR2B
#--- HUERS ---#		
HUERSP1	HUERS-P1-int	LTR8,LTR8A
HUERSP2	HUERS-P2-int	LTR1,LTR1B,LTR1C,LTR1D
HUERSP3	HUERS-P3-int	LTR9,LTR9B
HUERSP3B	HUERS-P3b-int	LTR9,LTR9B
